"","Date","Open","High","Low","Close","Volume"
"1707","9-Jun-06","392.19","395.43","385.35",386.57,6159365
"1706","12-Jun-06","388.34","390.49","381.00",381.54,5021083
"1705","13-Jun-06","380.90","387.00","378.12",386.52,7662124
"1704","14-Jun-06","389.83","391.10","378.52",384.39,7773360
"1703","15-Jun-06","386.62","392.25","383.00",391,6788401
"1702","16-Jun-06","389.10","390.93","388.00",390.7,5306979
"1701","19-Jun-06","390.85","394.80","386.98",388.14,7634692
"1700","20-Jun-06","388.03","391.87","386.51",387.17,4045219
"1699","21-Jun-06","391.06","404.00","389.75",402.13,8745047
"1698","22-Jun-06","401.58","406.00","388.00",399.95,6008179
"1697","23-Jun-06","402.76","409.75","400.74",404.86,5314766
"1696","26-Jun-06","406.75","408.30","403.25",404.22,3551178
"1695","27-Jun-06","405.71","408.00","401.01",402.32,4107079
"1694","28-Jun-06","404.01","406.48","401.13",406.11,3712699
"1693","29-Jun-06","407.99","418.20","405.82",417.81,6662215
"1692","30-Jun-06","415.60","419.33","412.33",419.33,6298846
"1691","3-Jul-06","420.04","423.77","419.45",423.2,2156782
"1690","5-Jul-06","421.52","422.80","415.64",421.46,4986307
"1689","6-Jul-06","423.38","425.38","421.98",423.19,3687577
"1688","7-Jul-06","426.05","427.89","415.88",420.45,6042310
"1687","10-Jul-06","423.44","425.23","416.38",418.2,4438867
"1686","11-Jul-06","418.50","425.05","413.03",424.56,5972817
"1685","12-Jul-06","422.09","422.74","416.73",417.25,4906618
"1684","13-Jul-06","414.00","418.34","406.83",408.83,6924475
"1683","14-Jul-06","410.33","411.49","398.61",403.5,7552072
"1682","17-Jul-06","404.62","411.00","403.72",407.89,5813229
"1681","18-Jul-06","409.75","410.57","397.74",403.05,8631609
"1680","19-Jul-06","395.01","401.14","394.66",399,8523151
"1679","20-Jul-06","404.28","404.44","385.66",387.12,12631703
"1678","21-Jul-06","386.14","391.75","377.69",390.11,11767919
"1677","24-Jul-06","392.82","393.89","381.21",390.9,8087709
"1676","25-Jul-06","385.02","391.31","383.80",389.36,5761388
"1675","26-Jul-06","388.20","391.91","383.00",385.5,5532668
"1674","27-Jul-06","387.37","387.49","377.95",382.4,5641105
"1673","28-Jul-06","382.00","389.56","381.73",388.12,4084395
